etd_file_id,text
86,"['Analysis of Metal Matrix Composite', 'Structures Using a Micromechanics', 'Constitutive Theory', 'by', 'Robert Thomas Arenburg', 'J. N. Reddy, Chairman', 'Engineering Mechanics', '(ABSTRACT)', 'The nonlinear behavior of continuous-fiber-reinforced metal-matrix', 'composite structures is examined using a micromechanical constitutive', 'theory. Effective lamina and laminate constitutive relations based on', 'the Aboudi micromechanics theory are presented. The inelastic matrix', 'behavior is modeled by the unified viscoplasticity theory of Bodner and', 'Partom. The laminate constitutive relations are incorporated into a', 'first-order shear deformation plate theory. The resulting boundary', 'value problem is solved by utilizing the finite element method.', 'Computational aspects of the numerical solution, such as the temporal', 'integration of the inelastic strains and the spatial integration of', 'bending moments are addressed. Numerical results are presented which', 'illustrate the nonlinear response of metal matrix composites subjected', 'to extensional and bending loads. Experimental data from available', 'literature are in good agreement with the numerical results.']"
87,"['Effect of a Heavy Metal on Ecto- and Vesicular-Arbuscular Mycorrhizal Fungi:', 'The Physiology, Ultrastructure, and Ecology of Copper Stress and Tolerance', 'by', 'Christine Mae Gruhn', 'Orson K. Miller, Jr.', 'Biology', '(ABSTRACT)', 'This work consists of an introduction, six chapters dealing with various aspects of the response of', 'mycorrhizal fungi to copper, and a brief conclusion. The first chapter examines the enzyme', 'tyrosinase in several ectomycorrhizal fungi and shows that its activity is altered in these fungi in', 'response to copper. Polyamines are also examined in this chapter, and it is shown that their levels', 'are altered in some ectomycorrhizal fungi due to copper stress but not in others. The second', 'chapter uses transmission electron microscopy to demonstrate that copper is bound to the hyphae', 'of ectomycorrhizal fungi grown on solid media, but the location of the binding varies between', 'fungal species. In vitro copper tolerances of a number of ectomycorrhizal species are compared in', 'this chapter and differences in tolerance are evident between species and between different isolates', 'of the same species. In the third chapter, four ectomycorrhizal fungi and one nonmycorrhizal', 'fungus are evaluated for their ability to improve the growth of Japanese Red Pine under conditions', 'of copper stress. Improvement of pine seedling growth is not correlated with in vitro copper toler-', 'ance of the fungus, but is related to the degree of compatibility between host and fungus. Despite', 'differences in in vitro tolerance between three isolates of the same species, there are no differences', 'in the effect of the isolates on the tree host under conditions of copper stress. Ectomycorrhizal fungi', 'were also inoculated in pairs on pine seedlings and the competitive abilities of the fungi are com-', 'pared under stressed and nonstressed conditions. The fourth chapter discusses the results of inoc-', 'ulation of pine with a nonhost fungus which stimulates dichotomous branching of the root system.', 'The compound responsible for the branching is demonstrated to be indole-3-acetic acid (IAA), a', 'plant growth hormone. The final two chapters deal with endomycorrhizal fungi. In the first of the', 'two, inoculation of onion with an endomycorrhizal fungus demonstrates that the fungus probably'] ['plays no direct role in the response of the plant to heavy metals, based on biomass production,', 'nutrient uptake, and photosynthetic rate. The last chapter demonstrates that the vascular plants', 'found on abandoned mines in Virginia and North Carolina are well colonized by endomycorrhizal', 'fungi; thus, an absence of these fungi is not a reason for the limited natural recolonization of the', 'mine spoils.']"
88,"['UTILIZATION OF CRAB PROCESSING WASTE AND CHITIN ASSOCIATED', 'WITH THE WASTE AS FEED FOR RUMINANTS', 'by', 'GBEMIGA A. AYANGBILE', 'J. P. Fontenot, Chairman', 'Animal Science', '(ABSTRACT)', 'Four experiments were conducted with crab processing', 'waste. Addition of 1.5% propionic/formic acid prevented de-', 'gradation up to 14 d. Desirable fermentation was achieved', 'when 32% of the treated crab waste was ensiled with 32%', 'straw, 16% molasses, and 20% water with or without 1%', 'microbial inoculant. The pH of the silage was lowered and', 'high concentration of lactic acid was observed. Use of .2%', 'NaOC1 or .4% H2O2 retarded spoilage of crab processing waste', 'up to 7 d. Ensiling of the treated waste (32%), straw (32%).', 'molasses (16%). and H2O (20%) indicated that the chemical', 'used in preservation enhanced fermentation. Addition of .4%', 'NaOC1 and 1.5% acetic acid to the crab processing waste re-', 'tarded degradation up to d 4. The trimethylamine (TMA) con-', 'centration and NH3 evolution were highest for the untreated', 'waste while the lowest concentration for TMA and NH3 evolu-', 'tion were observed for the NaOH-treated waste. Addition of', '1% NaNO2 or combination of .4% NaOC1/Ca0C1 (1:1, w/w) pre-', 'served the waste for up to 10 d. The evolution of NH3 and H2 S,'] ['and TMA concentration were lowest for the waste treated with', '1% NaNO2-', 'Apparent digestibility of DM, organic matter, CP, en-', 'ergy, NDF, ADF, cellulose and hemicellulose decreased line-', 'arly (P<.01) with level of crab waste-straw silage in diets', 'containing 0, 50, and 100% crab waste-straw silage. Nitrogen', 'retention increased linearly (P<.05) with level of crab', 'waste-straw silage. The apparent absorption was higher', '(P<.01) and retention was positive (P<.05) for Ca, Mg, Na,', 'K, Cu and Fe with sheep fed the highest level of crab waste-', 'straw silage.', 'Daily gain,feed efficiency and carcass characteristics', 'tended to be higher for steers fed 30% crab waste-straw', 'silage, dry basis. The flavor and overall desirability of', 'cooked meat were not adversely affected by feeding up to 30%', 'crab waste-straw silage, dry basis.', 'Modifying the existing methods of quantifying chitin', 'showed that initial decalcification or deprotinization of the', 'samples with chemicals are not neccessary. Similar values', 'were obtained for chitin when ADF/ashing method was compared', 'to the ADE/deacetylation method. These methods prevented loss', 'of chitin during preparation.', 'Digestibility of chitin was higher (58%) for sheep fed', '100% crab waste-straw silage compared to the value of 37% in', 'sheep fed 50% crab waste-straw silage. When ADF/ashing method', 'was used in quantifying chitin, higher disappearances were'] ['obtained for samples containing 100% crab meal kept in the', 'rumen or incubated in vitro for 72 h.', 'iv']"
89,"['THE ADOPTION OF INNOVATIVE WOOD PROCESSING TECHNOLOGIES', 'IN THE BUILDING PRODUCTS INDUSTRY', 'by', 'David H. Cohen', 'Committee Chairman: Steven A. Sinclair', 'Wood Science and Forest Products', '(ABSTRACT)', 'The strategic importance of the adoption of innovative processing technologies', 'was analyzed for building products businesses. This study examined the two', 'components of wood building products businesses: the structural panel industry and', 'the softwood lumber industry. To ensure that the relevance of adopting of innovative', 'processing technologies was examined within an accurate contextual environment,', 'additional important strategies and performance were also measured.', 'A mail survey of the seventy-five largest North American producers of these two', 'products provided the primary data necessary to investigate the strategic importance', 'of process technology adoption, forward vertical integration, relative market share,', 'grade sector focus, and investment intensity on firm performance as measured by', 'profitability surrogates and changes in relative market share. This survey collected', 'direct measures of the proportion of 1987 production produced by respondent firms', 'that used controlled distribution channels and each of twenty-three processes', 'indicative of innovative technologies in the manufacture of building products.', 'Information concerning the other strategic and performance factors was collected', 'from secondary data sources.', 'Results indicate that the adoption of innovative processing technologies has a', 'positive impact on firm profitability. Investment intensity and grade sector focus', 'also contributed to superior profitability. Forward vertical integration, and relative'] ['market share had no impact in differences between performance levels for the firms', 'studied.', 'Technologies were examined for underlying dimensions that group different', 'process technologies together. Firms were clustered according to their level of', 'adoption of innovative processing technologies and these clusters were then', 'described according to a variety of firm-dependent characteristics, strategies and', 'performance measures. A strategy-performance model was developed for', 'standardized, industrial product-markets and empirically tested using the data', 'collected for the building products industry as an industry representative of this type', 'of competitive environment.']"
90,"['STRATEGIES AND TACTICS TO ACCESS INTUITION:', 'A LOOK AT THE MOMENT OF SOLUTION', 'by', 'Linda E. Morris', 'Committee Chairperson: Marcie Boucouvalas', 'Adult Continuing Education', '(ABSTRACT)', 'This qualitative case study addressed the question, ""What strategies and', 'tactics do people use to access intuition in solving complex, ill-structured', 'problems?"" Such problems are not routine, well-defined, or solved by immediate', 'application of well-known procedures or decision rules. A comprehensive literature', 'review revealed a paucity of empirical data on accessing intuition during problem', 'solving. Additionally, while some posited a relationship between ill-structured', 'problems and intuitions, no studies existed linking the two.', ""This study explored people's specific actions at the moment when an overall"", 'solution becomes apparent to the problem solver. It focused on both the conscious', 'actions people take to access their intuition (strategies) and on the conscious or', 'unconscious skills, clusters of related skills, or procedures (tactics) they use', '(Gerber, 1983), as well as underlying tacit processes (Fischbein, 1987).', 'Participants were 11 human resource managers. This group was chosen because its', 'members frequently encounter complex, ill-structured problems or help others'] ['focus on how to solve such problems. Specific individuals were recommended', 'by', 'colleagues who considered them to be articulate and interested in intuition. They', 'completed journals to document the moment of solution and participated in follow-', 'up, in-depth interviews. To ensure internal validity, participants acted in the role of', '""co-researchers."" They reviewed manuscripts, journals, and interviews for', 'accuracy and reviewed written narratives to ensure that their statements had been', 'understood. Two corraborated the process of category construction.', 'A qualitative content analysis of journal results indicated that in seven', 'instances intuitions occurred when participants were with others and that these', 'seven were listening in some fashion at the moment of solution. Further analysis,', 'which incorporated the interviews, indicated that actions most frequently taken at', 'the moment of intuition included immersion, searching, thinking-working on', 'task, undirected thinking, making connections, and listening. Whether a given', 'action was a strategy, tactic, or tacit process depended on how deliberately people', 'acted and how aware they were of their actions. Results also showed that problems', 'were ill-structured and that intuitions had characteristics consistent with those', 'identified by Fischbein (1987). Finally, the study found that, for the participants in', 'this case study, the dynamics of intuition can be summed up with the following', 'proposition: A propelling concern to solve a complex problem leads to continuous', 'search and spontaneous combustion.', 'Implications for future research suggest the need for a conceptual', 'framework for studying intuition; extended research in the workplace and other'] ['settings, examining especially instances when people are with others at the moment', 'of solution; a more in-depth investigation of actions to access intuition, focusing on', 'specific actions such as listening as well as the sequencing of all actions; and', ""inquiry into how people's values and beliefs affect their actions. It is recommended"", 'that practitioners join in research efforts as well as engage learners in an exploration', 'of their own actions to access intuition during problem solving.']"
91,"['ETHICS AND THE PRINCIPALSHIP', 'by', 'Anthony J. Oliveira', 'Committee Chairman:', 'Wayne M. Worner, Educational Administration', '(ABSTRACT)', 'The primary aim of this study was to produce materials', 'on ethics which could be used in the preparation of practicing', 'and potential principals.', 'To examine the views of secondary school principals', 'involved in the study, twenty scenarios were developed which', 'portrayed situations that principals typically encounter.', 'School divisions in Virginia were divided into four categories', 'according to enrollment and the number of secondary schools', 'in', 'the division. Ten schools from each classification were', 'randomly selected, and on-site interviews were conducted with', 'each principal in which four of the scenarios and a survey', 'form were employed to collect information. Responses of the', 'principals to the scenarios were transcribed, analyzed and', 'distilled.', 'The scenarios and responses became the foundation for', 'the development of a primer on ethics for use in'] ['administrative in-service workshops and principal preparation', 'programs. The primer was used in designing and presenting in-', 'service programs on ethics for the administrative staffs of', 'two school divisions.', 'Responses by principals to situations presented during', 'the study and the in-service programs indicate that practicing', 'and potential school administrators would benefit by having', 'ethics included as a fundamental part of their professional', 'preparation program.']"
92,"['OPTICAL FIBER MODAL DOMAIN SENSORS', 'FOR DYNAMIC STRAIN MEASUREMENT', 'by', 'K.D. Bennett', 'Dr. R.O. Claus, Committee Chairman', 'Electrical Engineering', '(ABSTRACT)', 'Modern engineering structures often incorporate new materials and', 'complex designs for which existing techniques for nondestructive', 'evaluation prove inadequate, especially for dynamic and in-service', 'measurements. At the same time, optical fiber sensors have been identified', 'as an ideal candidate for embedded and attached measurements of', 'material parameters such as strain, temperature, or state of damage. In', 'particular, sensors based on optical fiber modal interference phenomena', 'have been shown to be capable of highly sensitive detection of static and', 'dynamic strain.', 'This work reviews known applications of modal domain sensing to', 'measurement science to date, and discusses the principles behind the', 'method. A general expression for the intensity distribution emerging from', 'a multimode fiber is formulated, covering both few mode and highly', 'multimode fibers, and new expressions for their sensitivity to both radial', 'and axial strain are derived. Optimized multimode fibers are seen to show', 'an intrinsic phase sensitivity which rivals or even surpasses that of the', 'single mode interferometer, especially in the case of applied radial strain.', 'The use of modal domain sensors for real-time ultrasonic wave', 'transduction is described as a particular application to NDE, with', 'experimental results being presented with regard to acoustic emission', 'monitoring as well as the detection and analysis of shock waves due to', 'impact. Finally, optimization schemes and alternatives for such sensors', 'are addressed, and recommendations for future work are raised.']"
93,"['OPTICAL FIBER MODAL DOMAIN SENSORS', 'FOR DYNAMIC STRAIN MEASUREMENT', 'by', 'K.D. Bennett', 'Dr. R.O. Claus, Committee Chairman', 'Electrical Enginecring', '(ABSTRACT)', 'Modern engineering structures often incorporate new nuterials and', 'complex designs for which existing teclniques for nondestructive', 'evaluation prove inadequate, especially for dynamic and in-service', 'measurements. AL the same lime, optical fiber Bensors have been identified', 'as an ideal candidate for embedded and attached neasurements of', 'material parameters such as strain, temperature, or state of damage. In', 'particular, sensors based on optical fiber modal interference phenomena', 'have been shown to be capable of highly sensitive detection of static and', 'dynambic strain.', 'This work reviews known applications of modnl domain sensing to', 'measurement science Lo date, and discusses the principles behind the', 'method. A general expression for the intensity distribution emerging from', 'a multimode liber is formulated, covering both few mode and highly', 'multimode fibers, and new expressions for their sonsitivity to both radial', 'and axial strain are derived. Optimized mullimode fibers are seen to show', 'am intringic phase bengitivity which rivals or even surpasses that of the', 'single mode interferometer, especially in the case of applied radial strain.', 'The use of modal domain sensors for real-time ultrasonic wave', 'transduction is described as y particular application to NDE, with', 'experimental results being presented with regard to accustie emission', 'monitoring 38 well as the detection and analysis of shock waves due to', 'inmpact. Finally, optimization schemes and alternatives for such sensors', 'are addressed, and recommendations for future work are raised.']"
94,"['AN INVESTIGATION OF THE RELATIONSHIP BETWEEN', 'PLAYFULNESS AND SELF-ESTEEM', 'by', 'Susan Semanic-Lauth', 'Committee Chairman: Cosby S. Rogers', 'Family and Child Development', '(ABSTRACT)', 'Playfulness, externality, self-perceptions, IQ,', 'first-grade readiness, and selected demographic variables', 'were studied in a sample of 93 first and second grade', 'children. Playfulness and externality were obtained from', 'teacher ratings on the Child Behaviors Inventory and', 'self-perceptions were obtained via child interviews using', ""Harter and Pike's (1984) Pictorial Scale of Perceived"", 'Competence and Social Acceptance for Young Children.', 'Neither playfulness nor externality correlated', 'significantly with any of the following self-perception', 'scales: (a) cognitive competence, (b) peer acceptance,', '(c) physical competence, and (d) maternal acceptance.', 'Pearson correlation coefficients reflected a significant', 'ii'] ['iii', 'but low relationship between IQ (measured via the Block', 'Design and Vocabulary subtests of the Wechsler Intelligence', 'Scale for Children-Revised) (r = .26, p < .05) and', 'Playfulness. A significant but low correlation was also', 'found between Playfulness and social status (r = . .26, p <', '. 05) . A principal components factor analysis, followed by', 'varimax rotation yielded a four factor solution. Factor 1', 'was comprised of cognitive variables (IQ and first-grade', 'readiness) . Factor 2 was comprised of the self-perception', 'subscales. Factor 3 was Externality and Factor 4 loaded', 'heavily for gender. Examination of the final communality', 'estimate indicated that playfulness contributed little to', 'the total variance and should be interpreted as a measure', 'of a trait which is independent of cognitive functioning,', 'self-perceptions, externality, gender and age.']"
95,"['TOWARDS A CULTURALLY IDENTIFIABLE ARCHITECTURE', 'by', 'Chian-Yeun Chang', 'Joseph Wang, Chairman', 'Environmental Design and Planning', '(ABSTRACT)', 'This study proposes a systematic approach for investigators to judge how ar-', 'chitecture of a given cultural group can be considered as culturally identifiable. More', 'specifically, it proposes the steps in unveiling the relationships between chosen core', 'elements of cultural distinctness and various design patterns. The suggested', 'sources of core elements are political, social/behavioral, and economic influences', 'on architectural design and approaches to create architectural signs.', 'It is presupposed that a design pattern is considered culturally identifiable when', 'important core elements are communicated via noticeable signs. The communication', 'is perceived from a semiotic analogy of architectural signs, whereby the importance', 'of one core element over the other is identified by the investigator through research', 'into the cultural context under study.', ""A case study on China's architecture is presented to illustrate these steps and"", 'test the proposed hypotheses. The steps are so designed that testing the relevance', 'of core elements to architectural signs is essential. Forty-six sample buildings se-', 'lected from China served as stimulus materials in the case study. These building', 'patterns were rated as different types of signs on the basis of the core elements', ""elicited from China's present-day culture. These buildings also were judged in a"", 'survey by forty-four Chinese students and their spouses at Virginia Polytechnic Insti-', 'tute and State University who represent samples of overseas Chinese laypersons.', 'TOWARDS A CULTURALLY IDENTIFIABLE ARCHITECTURE'] ['The findings show that survey results deviated significantly from the semiotic', 'results as laypersons considered traditional architecture most representative of', 'Chinese identity. The semiotic results show that culturally identifiable designs are', 'the hybrid forms of traditional and modern architecture. Most laypersons ignored the', 'relationships between their perception of distinct identity in architecture and core', 'elements of economic meanings and sign-creation approaches. This deviation im-', 'plies a significant cultural lag in perceiving distinct identity between professionals', 'and laypersons, and led to modification of the presupposed hierarchical importance', 'of core elements.', 'Through the case study and findings, this research illustrates the procedure by', 'which investigators can determine from a specific range of cultural elements the most', 'effective means of communication of identity. It enables the inclusion of core ele-', 'ments of popular culture in comparing various design patterns and in differentiating', 'built forms of one culture from that of others. The study ends with the factors and', 'suggestions that are related to communication of Chinese identity in architecture.', 'TOWARDS A CULTURALLY IDENTIFIABLE ARCHITECTURE']"
96,"['EXPERIMENTAL STUDY OF EARTH PRESSURES', 'ON RETAINING STRUCTURES', 'by', 'Allen Lee Sehn', 'Committee Chairman: J. Michael Duncan', 'Civil Engineering', '(ABSTRACT)', 'Previous laboratory and field experimental studies of earth', 'pressures exerted on retaining structures and laboratory studies of the', 'at-rest earth pressure coefficient are summarized. The current methods', 'used to evaluate the earth pressures due to compaction are reviewed.', 'The design features of a new instrumented oedometer developed to', 'investigate the effect of number of load cycles on the at-rest earth-', 'pressure coefficient are presented along with the results of a series of', 'tests on Monterey sand #0/30.', 'The Instrumented Retaining Wall Facility developed to provide a', 'means of obtaining experimental measurements of the earth pressures', 'exerted on retaining structures is described. The instrumented wall of', 'the facility is seven feet high and ten feet long and is instrumented to', 'measure horizontal and vertical forces, horizontal earth pressures,', 'horizontal deformations, and temperature. A description of the', 'microcomputer-based data-acquisition system and the software used to', 'record the test results is included.', 'The results of four tests where Yatesville silty sand was compacted', 'in layers in the Instrumented Retaining Wall Facility are presented.'] ['The experimental results are compared with the results of similar', 'studies by others and to an analytical method used to estimate', 'compaction-induced - earth pressures.']"
97,"['TRANSIENT MOISTURE EFFECTS ON THE VISCOELASTICITY', 'OF SYNTHETIC FIBERS AND COMPOSITES', 'by', 'Zhiqiang Wang', 'Committee Chairman: D. A. Dillard', 'Engineering Science and Mechanics', '(ABSTRACT)', 'Transient moisture conditions can accelerate the viscoelastic', 'behavior of certain materials over that of constant moisture', 'conditions. This is termed the mechano-sorptive phenomenon. The thrust', 'of this research effort is to study the mechano-sorptive effects on', 'the creep behavior of synthetic fibers and composite materials. This', 'study consisted of two main parts: 1). a phenomenological', 'investigation of the transient moisture effects in synthetic fibers', 'and composite materials and 2). mechanistic studies of the observed', 'phenomenon. The materials studied included Kevlar® fibers, Kevlar®', 'fiber reinforced composites, Technora fibers, poly (methyl', 'methacrylate) (PMMA) fibers, and Nylon 6,6 fibers.', 'Unidirectional ( 0° ) Kevlar® 49/7714 epoxy coupons undergoing', 'desorption exhibited an increase in tensile and bending creep', 'deformations, a decrease in storage modulus, and an increase in the', 'loss tangent (Tan 8) when compared to coupons maintained at a constant'] ['(saturated) moisture content. However, the transient moisture effects', 'were not seen in composite coupons along the matrix direction.', 'Experimental results showed that aramid fibers exhibited logarithmic', 'creep behavior under tensile load. Even though different constant', 'moisture conditions did not have appreciable effects on the creep', 'behavior of aramid fibers, the creep process increased substantially', 'under transient moisture conditions. The logarithmic creep rates and', 'the mechano-sorptive effects increased with temperature. The creep', 'activation energies of Kevlaro fibers are: 4.84 Kcal/mole for the', 'cyclic moisture conditions and 1.04 Kcal/mole for the constant', '(saturated) moisture condition. Increases in stress may increase the', 'logarithmic creep rates but may reduce the mechano-sorptive effect. In', 'addition, the creep behavior under transient moisture conditions was', 'nonlinearly dependent on stress. The fiber elastic compliance was', 'observed to increase after creep deformation. Moreover, it was found', 'that the fiber elastic compliance has correlation with the logarithmic', 'creep rates.', 'Aramid fibers contain hydrogen bonds between rod-like', 'crystallites oriented at small angles relative to the fiber axis.', 'These F /drogen bonds may be disrupted during a transient moisture', 'process. The breakage of thene hydrogen bonds may cause slippage of', 'hydrogen bonded crystallites and result in accelerated crystallite', 'rotations, thus causing increases in logarithmic creep rate. Aralysis', 'indicated that the obtained activation energy (4.84 Kcal/mole) and the', 'reduction in fiber elastic compliance due to creep deformation support', 'the proposed mechanisms.']"
98,"['ENVIRONMENTAL INFLUENCE ON POSTEMERGENCE CHEMICAL', 'CONTROL OF CRABGRASS (Digitaria spp.) IN TURF', 'by', 'William John Chism', 'S. Wayne Bingham, Chairman', 'Plant Pathology, Physiology and Weed Science', '(ABSTRACT)', 'The influence of environment on efficacy of postemergence', 'herbicides was quantified. A three-fold approach included:', 'first, use of field test sites to select an herbicide', 'sensitive to environmental conditions; second, quantify', 'herbicide responses to temperature, moisture, and', 'morphological conditions; and third, conduct laboratory', 'research to determine if differential uptake, translocation,', 'or metabolism would account for these responses to the', 'environment.', 'Section one of the research was designed to determine if', 'field research can be used to detect herbicides sensitive to', 'environmental influences. Herbicides compared were:', 'imazaquin, BAS 514 and tridiphane to fenoxaprop-ethyl (the', 'cool-season herbicide standard) for postemergence control of', 'large crabgrass (Digitaria sanquinalis) in Kentucky bluegrass', '(Poa pratensis) and bermudagrass (Cynodon dactylon) turf. BAS', '514 was significantly influenced by variable environment.'] ['Section two of the research studied control of southern', 'crabgrass (Digitaria ciliaris) by BAS 514 as influenced by', 'morphological and physiological factors. BAS 514 efficacy was', 'influenced by crabgrass growth stage, air temperature, and', 'irrigation level. Flowering crabgrass plants were the most', 'tolerant, while preemergence and true-leaf stages were the', 'most sensitive. Plants held at soil moisture levels near', 'saturation and 25° C were the most sensitive to BAS 514. BAS', '514 was not effective against plants grown at low moisture', 'levels and 15° or 35° C.', 'Section three of the research compared the uptake,', 'distribution, and metabolism of 14c BAS 514 in southern', 'crabgrass and Kentucky bluegrass plants, a sensitive and non-', 'sensitive species. Foliar applied BAS 514 was rapidly', 'absorbed by both species. Uptake and partitioning was similar', 'in both species from 0.5 to 32 h, but different at 128 h, with', 'bluegrass more uniformly distributing the herbicide.', 'Metabolism of BAS 514 was low with only 3% metabolism in both', 'species. Uptake, distribution, and metabolism apparently are', 'not involved in differential sensitivity to BAS 514.', 'Field research can be used to select an herbicide', 'sensitive to environmental influences. Temperature and soil', 'moisture influenced the herbicidal activity of BAS 514.', 'Uptake, translocation and metabolism did not appear to', 'influence selectivity of this herbicide.']"
99,"['The Effect of Surface Modification on', 'the Crystal Growth of Iron Oxides', 'by', 'Thomas F. Barton', 'John G. Dillard, Committee Chairman', 'Department of Chemistry', '(ABSTRACT)', 'The growth of Fe3O4 and FeOOH crystals was investigated. Growth modifiers were used', 'to alter the formation of iron oxides from ferrous hydroxide precipitates. Multifunctional', 'carboxylic acids were found to have a strong influence on morphology of FeOOH. Dicarboxylic', 'acids, containing two and seven carbons, changed the characteristics of a-FeOOH. These', 'changes included alteration of the isoelectic point of the particulates and changes in particle', 'size and shape. EDTA was found to alter the phase of FeOOH formation, favoring the synthesis', 'of ~-FeOOH over a-FeOOH at temperatures below 50°C. The effects of multifunctional carboxic', 'acids were dependent upon the time of addition, and the presence of other growth modifiers.', 'The changes in FeOOH formation were postulated to occur due to interaction between the acid', 'molecules and Green Rust II, a common intermediate in iron oxide growth.', 'The growth of Fe3O4 was found to be sensitive to solution pH, and the form of the iron', 'starting materials. Examination of reaction intermediates by x-ray diffraction showed that other', 'crystalline phases formed prior to the production of Fe3O4. Different intermediate phases', 'occurred depending on the amount of hydroxide in the reaction, and differences in Fe³+', 'starting materials. The production of different intermediate phases affected the morphology of', 'Fe3O4 Early precipitation of Fe3O4 led to small particles, while formation of crystalline Fe(OH)2', 'led to large crystals. Formation of a mixture of Green Rust Il and Fe(OH)2 early in the oxidation', 'process led to formation of multiple nuclei, and produced smaller average particles with a wide', 'particle size distribution. Fe3O4 particles prepared from a-FeOOH seed crystals were spherical,', 'while Fe3O4 particles prepared from FeSO4 alone were octahedral crystals.']"
100,"['SYNTHESIS OF WELL-DEFINED SINGLE AND MULTIPHASE POLYMERS', 'USING VARIOUS LIVING POLYMERIZATION METHODS', 'by', 'Joseph M. DeSimone', 'Committee Chairman: James E. McGrath', 'Department of Chemistry', '(ABSTRACT)', 'Hexenyl functionalized poly(dimethylsiloxane)', 'and', 'methacryloyloxy functionalized poly (methyl methacrylate)', '(PMMA) and poly (dimethylsiloxane) (PDMS) macromonomers were', 'synthesized using living polymerization techniques.', 'The', 'PDMS macromonomers were prepared by the anionic ring-opening', 'polymerization of hexamethylcyclotrisiloxane followed by', 'termination with a functionalized chlorosilane derivative.', 'The methacryloyloxy functionalized PMMA macromonomers were', 'prepared using group transfer polymerization with', 'a', 'protected hydroxyl functional initiator. The molar masses', 'of the macromonomers ranged from 1000 g/mol up to 20000', 'g/mol with narrow molar mass distributions, less than 1.1,', 'and high percent functionalities.', 'The hexenyl', 'functionalized PDMS macromonomers, having a range of molar', 'masses, were statistically terpolymerized with 1-butene and', 'sulfur dioxide to yield poly(1-butene sulfone)-g-PDMS', 'copolymers of various chemical compositions up to 20 wt%', 'PDMS.', 'The bulk and surface phase morphologies were', 'investigated using DSC, TEM, XPS, and water contact angle']"
102,"['i', 'ABS TRACT', 'This research is a first step toward developing a', '^verifying compiler"". Such a compiler, as well as doing the', 'standard translation of a program to machine executable', 'form, attempts to prove that the program is', 'In', 'order to do this a program must be annotated with', 'propositions in a mathematical notation which define the', '""correct* relations among the program variables. The', 'verifying compiler then checks for consistency between the', 'program and its propositions.', 'The thesis presents the theoretical basis of the', 'method and then describes a prototype verifier in detail.', 'This verifier, running on an IBM 360, operates on programs', 'written in a simple programming language for integer', 'arithmetic. Many programs have been automatically verified', 'by this program. These include a simple sort program, a', ""program which examines a number for the property 'prime',"", 'and a rather subtle program which raises an integer to an', 'integral power. The formal amalysis of a program produces', '""verification conditions which must be proven to', 'be', 'theorems over integers. The verifier proves these theorems', 'by using powerful formula simplification routines and', 'specialized techniques for integer expressions. Ideas for', 'improving this verifier and for building one which will', 'operate on a more complicated programming language are also', 'presented.', 'Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.']"
105,"['STRUCTURAL AND MOLECULAR ORBITAL STUDIES OF CARBORANES', '(a Summary)', 'Research Director:', 'Thomas F. Koetzle', 'Professor W. N. Lipscomb', 'November 1969', 'The crystal and molecular structures of', 'and 2 have been deter- -', 'mined by three-dimensional x-ray diffraction studies', 'at low temperatures. In each case, atomic positions', 'are elucidated by application of direct methods of', 'phase determination. The resulting molecular geometries', 'provide the basis for theoretical investigations by', 'both the extended Hückel and non-empirical molecular', 'orbital methods.', 'The desire for better carborane wavefunctions has', 'led us to perform accurate minimum basis set SCF', 'calculations for the two isomers of B Parameters', 'from these SCF results have been used in the calcula-', 'tion of non-empirical molecular orbitals for several', 'carboranes in the series BN°2HN+2 Energies, ionization', 'potentials, charge distributions, and dipole moments', 'are tabulated.', 'Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.']"
